员工编号,姓名,部门,岗位序列,职级,学历,工作城市,入职日期,司龄(年),基本工资,绩效工资,岗位津贴,餐补交通补,应发工资,五险一金个人部分,个税扣除,实发工资,本年度绩效评级,是否在职
EMP0038,王慧,技术研发部,职能序列,M2,本科,西安,2024-07-05,1.0,21754,5152,1808,1776,30490,3201,2039,25250,A,是
EMP0039,张秀珍,运营部,技术序列,P1,大专,上海,2025-01-13,0.5,9937,3470,614,1650,15671,1645,853,13173,B,是
EMP0040,张瑜,市场部,运营序列,P3,大专,深圳,2017-10-15,7.7,14781,4108,1582,1694,22165,2327,1373,18465,B,是
EMP0041,李帅,技术研发部,职能序列,P2,本科,深圳,2023-10-30,1.7,10552,4397,1483,580,17012,1786,960,14266,A,是
EMP0042,惠刚,人力资源部,技术序列,M1,本科,杭州,2020-09-27,4.8,27504,11099,3531,1586,43720,4590,3097,36033,B,是
EMP0043,毛健,技术研发部,运营序列,P2,本科,杭州,2019-10-25,5.7,8488,2611,952,498,12549,1317,603,10629,A,是
EMP0044,鞠俊,销售部,技术序列,P3,本科,上海,2019-02-12,6.4,13717,4903,1118,1585,21323,2238,1305,17780,B,是
EMP0045,黄倩,产品部,销售序列,P4,本科,武汉,2017-09-28,7.8,12505,5189,1302,1623,20619,2164,1249,17206,A,是
EMP0046,陈淑兰,运营部,运营序列,P4,硕士,北京,2018-05-31,7.1,22316,6666,1319,380,30681,3221,2054,25406,A,是
EMP0047,韩明,产品部,销售序列,P3,大专,成都,2024-07-24,0.9,11212,2735,1321,932,16200,1701,896,13603,A,是
EMP0048,江霞,人力资源部,运营序列,P3,本科,西安,2019-10-10,5.7,11040,4152,1352,1202,17746,1863,1019,14864,C,否
EMP0049,常建国,人力资源部,技术序列,P3,本科,西安,2017-02-22,8.4,13269,2866,1943,368,18446,1936,1075,15435,B,是
EMP0050,王鑫,技术研发部,运营序列,P2,硕士,成都,2017-01-14,8.5,5687,1515,432,1486,9120,957,329,7834,B,是
EMP0051,毛龙,客户服务部,销售序列,P2,硕士,西安,2020-04-05,5.2,7951,3257,412,1047,12667,1330,613,10724,B,是
EMP0052,杨秀云,运营部,运营序列,P3,大专,西安,2017-01-31,8.4,9462,3475,989,1799,15725,1651,858,13216,B,是
EMP0053,黄志强,客户服务部,销售序列,P2,本科,武汉,2020-01-10,5.5,7065,1915,852,569,10401,1092,432,8877,A,是
EMP0054,刘丽丽,销售部,销售序列,P2,硕士,深圳,2019-11-09,5.6,10376,2224,1338,484,14422,1514,753,12155,B,是
EMP0055,李杨,财务部,技术序列,P4,本科,北京,2022-10-08,2.7,20046,5147,1390,904,27487,2886,1798,22803,A,是
EMP0056,马淑华,客户服务部,技术序列,M1,本科,西安,2018-12-19,6.5,20628,4852,1571,969,28020,2942,1841,23237,A,是
EMP0057,谭慧,技术研发部,运营序列,P4,本科,上海,2025-01-18,0.4,24179,4904,2448,1150,32681,3431,2214,27036,B,是
EMP0058,王红梅,技术研发部,产品序列,P1,本科,武汉,2016-06-26,9.0,5615,2094,466,659,8834,927,306,7601,A,是
EMP0059,孙龙,技术研发部,销售序列,P1,硕士,西安,2024-03-07,1.3,6345,1431,863,711,9350,981,348,8021,A,是
EMP0060,康凯,产品部,销售序列,M1,博士,上海,2021-02-24,4.4,21968,6288,2139,570,30965,3251,2077,25637,B,是
EMP0061,李峰,市场部,产品序列,P2,本科,杭州,2022-01-05,3.5,8382,2227,1089,1404,13102,1375,648,11079,B,是
EMP0062,谢静,产品部,技术序列,P1,本科,深圳,2017-05-26,8.1,6101,2712,659,1049,10521,1104,441,8976,B,否
EMP0063,叶云,销售部,职能序列,P4,硕士,广州,2020-03-30,5.3,16159,4319,2057,1387,23922,2511,1513,19898,B,是
EMP0064,阎利,产品部,技术序列,P4,大专,西安,2016-11-18,8.6,14312,2490,1191,1327,19320,2028,1145,16147,B,是
EMP0065,张凯,产品部,销售序列,P4,本科,上海,2022-03-11,3.3,22231,3933,2959,858,29981,3148,1998,24835,B,否
EMP0066,李杰,人力资源部,产品序列,P2,硕士,武汉,2019-04-15,6.2,7736,2531,599,636,11502,1207,520,9775,A,否
EMP0067,高瑞,技术研发部,职能序列,P1,本科,深圳,2025-04-20,0.2,6861,2262,717,826,10666,1119,453,9094,B,是
EMP0068,陈洋,销售部,技术序列,M1,本科,北京,2023-01-18,2.5,30150,8310,2152,1286,41898,4399,2951,34548,B,是
EMP0069,熊瑞,技术研发部,运营序列,P2,大专,武汉,2022-12-08,2.6,7818,2185,762,904,11669,1225,533,9911,A,是
EMP0070,卢东,客户服务部,产品序列,P4,硕士,杭州,2020-01-21,5.4,20562,3416,1682,993,26653,2798,1732,22123,D,是
EMP0071,贾晨,运营部,运营序列,P4,本科,成都,2022-06-22,3.0,11407,3478,874,535,16294,1710,903,13681,B,是
EMP0072,国波,技术研发部,技术序列,P4,本科,西安,2018-02-26,7.3,14564,4389,2136,1259,22348,2346,1387,18615,A,是
EMP0073,史春梅,技术研发部,职能序列,P3,本科,北京,2023-11-25,1.6,13933,2715,919,454,18021,1892,1041,15088,S,是
EMP0074,胡瑞,销售部,销售序列,P2,本科,上海,2016-10-11,8.7,11037,1999,1420,588,15044,1579,803,12662,S,是
EMP0075,杨瑞,运营部,技术序列,P4,硕士,西安,2016-07-06,9.0,14940,2794,2217,762,20713,2174,1257,17282,A,是
EMP0076,章秀荣,运营部,技术序列,P6,本科,上海,2023-06-01,2.1,43166,7783,2244,1685,54878,5762,3990,45126,A,是
EMP0077,邱桂芳,运营部,技术序列,P7,本科,北京,2018-07-22,6.9,53868,17933,6458,1783,80042,8404,6003,65635,B,是
EMP0078,王雪,技术研发部,职能序列,P2,本科,上海,2024-09-01,0.8,11598,2423,873,1681,16575,1740,926,13909,C,是
EMP0079,曹林,产品部,运营序列,P2,博士,武汉,2019-03-31,6.3,6203,1398,335,1113,9049,950,323,7776,B,是
EMP0080,邓琴,技术研发部,运营序列,P7,本科,深圳,2016-11-22,8.6,64458,13025,5819,1441,84743,8898,6379,69466,A,是
EMP0081,史玉华,销售部,技术序列,P4,硕士,上海,2018-08-11,6.9,21419,9367,3074,1049,34909,3665,2392,28852,B,是
EMP0082,朱旭,运营部,产品序列,P6,本科,杭州,2017-02-17,8.4,41682,16938,2133,484,61237,6429,4498,50310,B,是
EMP0083,刘桂花,产品部,运营序列,P2,硕士,深圳,2020-04-05,5.2,10501,2301,1142,1108,15052,1580,804,12668,B,是
EMP0084,胡婷,技术研发部,运营序列,P4,硕士,武汉,2019-02-12,6.4,13495,3350,1351,328,18524,1945,1081,15498,C,是
EMP0085,邓桂芝,产品部,销售序列,P4,本科,西安,2021-01-31,4.4,12752,2715,1751,841,18059,1896,1044,15119,C,是
EMP0086,王桂英,产品部,技术序列,P4,硕士,广州,2023-02-16,2.4,19494,5800,1138,1398,27830,2922,1826,23082,B,是
EMP0087,程帆,运营部,职能序列,P3,本科,西安,2025-05-09,0.1,9276,1445,1095,553,12369,1298,589,10482,B,是
EMP0088,史桂花,运营部,产品序列,P1,大专,上海,2020-02-03,5.4,9200,3232,1085,1231,14748,1548,779,12421,A,是
EMP0089,刘小红,销售部,产品序列,P4,本科,上海,2017-10-28,7.7,20952,6431,2449,1054,30886,3243,2070,25573,B,是
EMP0090,徐博,市场部,职能序列,P2,本科,杭州,2020-02-25,5.4,7609,3192,1097,1677,13575,1425,686,11464,A,是
EMP0091,徐琳,技术研发部,职能序列,P3,本科,武汉,2019-12-26,5.5,9688,1930,1281,1676,14575,1530,766,12279,B,是
EMP0092,朱博,运营部,销售序列,M1,本科,杭州,2018-05-08,7.2,19831,7758,1074,836,29499,3097,1959,24443,B,否
EMP0093,吴杨,运营部,技术序列,P3,本科,成都,2023-07-08,2.0,10703,4148,1039,1497,17387,1825,990,14572,A,是
EMP0094,王辉,财务部,技术序列,P5,本科,武汉,2018-12-29,6.5,17828,3354,1600,1080,23862,2505,1508,19849,S,是
EMP0095,杜佳,运营部,职能序列,P2,本科,北京,2023-11-14,1.6,13194,3556,1068,1607,19425,2039,1154,16232,S,否
EMP0096,高颖,人力资源部,运营序列,P4,本科,北京,2023-08-31,1.8,22254,4474,2117,1060,29905,3140,1992,24773,S,是
EMP0097,陆静,人力资源部,技术序列,M1,本科,北京,2023-04-08,2.2,26913,6093,2379,521,35906,3770,2472,29664,S,是
EMP0098,钱莹,市场部,技术序列,P2,本科,杭州,2016-10-19,8.7,10760,2463,1003,1682,15908,1670,872,13366,A,是
EMP0099,李婷婷,技术研发部,技术序列,P1,本科,北京,2022-10-31,2.7,9762,3093,1444,778,15077,1583,806,12688,A,是
EMP0100,赵淑兰,技术研发部,销售序列,P3,本科,武汉,2023-02-13,2.4,10374,2836,610,1265,15085,1583,806,12696,A,是
EMP0101,石林,技术研发部,技术序列,P1,本科,北京,2017-12-01,7.6,7940,3448,1129,351,12868,1351,629,10888,D,是
EMP0102,林秀梅,运营部,产品序列,P4,硕士,广州,2021-12-27,3.5,13884,2608,1360,1568,19420,2039,1153,16228,A,是
EMP0103,何桂香,产品部,技术序列,P6,硕士,北京,2024-03-05,1.3,40148,17749,4511,1449,63857,6704,4708,52445,A,是
EMP0104,李桂兰,人力资源部,产品序列,P3,本科,上海,2018-09-29,6.8,14685,3218,1953,971,20827,2186,1266,17375,B,是
EMP0105,瞿畅,销售部,技术序列,P2,本科,成都,2017-10-31,7.7,7890,3012,678,1549,13129,1378,650,11101,C,是
EMP0106,赖涛,产品部,运营序列,P3,硕士,杭州,2021-03-08,4.3,13084,3293,1217,753,18347,1926,1067,15354,B,是
EMP0107,刘艳,市场部,技术序列,P4,硕士,深圳,2020-04-03,5.2,22993,4435,2091,1626,31145,3270,2091,25784,A,是
EMP0108,陈凤兰,运营部,销售序列,P1,本科,成都,2019-01-10,6.5,5317,2165,465,429,8376,879,270,7227,B,是
EMP0109,丁波,技术研发部,技术序列,P4,硕士,广州,2023-03-06,2.3,17519,4251,2497,1601,25868,2716,1669,21483,B,是
EMP0110,苏丹,技术研发部,运营序列,P4,本科,杭州,2023-09-19,1.8,21585,7504,2868,1250,33207,3486,2256,27465,B,是
EMP0111,黄建华,产品部,销售序列,P4,本科,武汉,2022-03-31,3.3,14990,4795,912,1735,22432,2355,1394,18683,B,是
EMP0112,张琴,技术研发部,职能序列,P2,大专,西安,2018-06-18,7.0,7356,2144,447,918,10865,1140,469,9256,C,否
EMP0113,张桂花,客户服务部,运营序列,P4,本科,杭州,2023-09-05,1.8,17534,5238,1626,1629,26027,2732,1682,21613,C,是
EMP0114,苏雪,销售部,产品序列,P1,大专,上海,2019-08-21,5.9,7891,2917,472,1136,12416,1303,593,10520,B,是
EMP0115,陈佳,运营部,产品序列,P2,本科,武汉,2025-06-14,0.0,6824,1203,763,538,9328,979,346,8003,B,是
EMP0116,蔡婷婷,销售部,职能序列,P6,本科,成都,2024-08-13,0.9,26836,9404,1727,586,38553,4048,2684,31821,B,是
EMP0117,张丹丹,销售部,销售序列,P4,硕士,成都,2024-09-13,0.8,16098,6740,1645,392,24875,2611,1590,20674,B,是
EMP0118,刘梅,技术研发部,职能序列,P1,硕士,北京,2016-08-17,8.9,8517,1425,431,376,10749,1128,459,9162,S,是
EMP0119,田建军,销售部,运营序列,P2,本科,武汉,2018-07-27,6.9,6369,1224,520,923,9036,948,322,7766,D,是
EMP0120,周伟,人力资源部,职能序列,P2,硕士,西安,2025-03-20,0.3,8982,3278,1057,1308,14625,1535,770,12320,A,是
EMP0121,祁淑英,销售部,运营序列,P2,硕士,上海,2016-05-11,9.1,12035,3384,1184,537,17140,1799,971,14370,B,是
EMP0122,高璐,销售部,技术序列,P2,硕士,北京,2025-01-10,0.5,9870,2675,1459,499,14503,1522,760,12221,C,是
EMP0123,王凤英,产品部,运营序列,P1,本科,北京,2019-07-16,6.0,8286,1583,1138,780,11787,1237,542,10008,A,否
EMP0124,许佳,技术研发部,销售序列,P3,本科,西安,2020-07-01,5.0,10274,3103,882,1400,15659,1644,852,13163,B,是
EMP0125,郭华,技术研发部,技术序列,P4,硕士,杭州,2019-01-01,6.5,22766,4279,1241,577,28863,3030,1909,23924,A,是
EMP0126,常建平,市场部,职能序列,P4,本科,成都,2016-09-28,8.8,12797,3749,1721,1095,19362,2033,1148,16181,B,是
EMP0127,韦坤,销售部,技术序列,P4,本科,北京,2018-05-14,7.1,￥25135,9528,3547,1229,39439,4141,2755,32543,A,是
EMP0128,李冬梅,销售部,运营序列,P1,本科,广州,2022-05-12,3.1,8012,1822,1058,1059,11951,1254,556,10141,B,是
EMP0129,梁帆,技术研发部,技术序列,M1,本科,广州,2024-01-19,1.4,19933,5865,1251,1673,28722,3015,1897,23810,B,是
EMP0130,胡秀英,人力资源部,产品序列,P5,本科,成都,2019-07-12,6.0,20610,9225,3087,1726,34648,3638,2371,28639,D,是
EMP0131,宋红梅,市场部,职能序列,P5,大专,广州,2018-05-20,7.1,22311,7942,1692,1406,33351,3501,2268,27582,D,是
EMP0132,陈凯,技术研发部,产品序列,P5,本科,西安,2023-05-08,2.2,19784,7961,2421,1158,31324,3289,2105,25930,A,是
EMP0133,田凤兰,技术研发部,职能序列,P7,硕士,杭州,2021-08-06,3.9,50178,13771,7065,1502,72516,7614,5401,59501,B,是
EMP0134,张秀英,产品部,职能序列,P3,硕士,上海,2020-06-08,5.1,17115,6509,1259,1788,26671,2800,1733,22138,S,是
EMP0135,俞伟,客户服务部,销售序列,P2,大专,深圳,2023-03-18,2.3,12676,2055,1785,616,17132,1798,970,14364,S,否
EMP0136,张俊,产品部,技术序列,P4,硕士,北京,2021-02-22,4.4,20480,3827,1657,1149,27113,2846,1769,22498,A,是
EMP0137,周勇,人力资源部,产品序列,P4,本科,深圳,2017-08-08,7.9,16225,3422,2395,1641,23683,2486,1494,19703,D,是
EMP0138,谢红梅,运营部,技术序列,P4,本科,上海,2018-12-20,6.5,21904,5926,1711,502,30043,3154,2003,24886,C,是
EMP0139,杨秀梅,市场部,销售序列,P3,本科,上海,2017-07-25,7.9,16418,6628,2386,1302,26734,2807,1738,22189,A,是
EMP0140,白想,客户服务部,销售序列,P1,硕士,西安,2018-10-07,6.7,5623,1427,311,1560,8921,936,313,7672,A,是
EMP0141,郭建平,客户服务部,运营序列,P3,硕士,杭州,2024-05-09,1.1,13114,4542,1585,1135,20376,2139,1230,17007,A,是
EMP0142,凌秀兰,产品部,销售序列,P6,本科,广州,2022-04-18,3.2,34813,12629,3593,872,51907,5450,3752,42705,B,是
EMP0143,贾雪,人力资源部,运营序列,P4,硕士,广州,2022-01-16,3.5,20847,6793,2038,367,30045,3154,2003,24888,B,是
EMP0144,胡丽娟,产品部,运营序列,P3,大专,西安,2018-12-12,6.6,10604,2727,767,1713,15811,1660,864,13287,A,是
EMP0145,陈健,产品部,技术序列,P2,本科,上海,2024-05-17,1.1,11070,3576,1334,1058,17038,1788,963,14287,B,是
EMP0146,赵晨,技术研发部,职能序列,P3,本科,杭州,2022-07-22,2.9,12830,3241,886,744,17701,1858,1016,14827,A,是
EMP0147,倪丽,财务部,技术序列,P6,本科,杭州,2020-10-20,4.7,36000,6305,3790,1208,47303,4966,3384,38953,C,是
EMP0148,霍玉华,人力资源部,销售序列,P4,本科,成都,2022-07-18,3.0,17658,7907,1330,1210,28105,2951,1848,23306,B,是
EMP0149,梅桂英,技术研发部,职能序列,P5,硕士,武汉,2020-06-23,5.0,20342,3827,2961,783,27913,2930,1833,23150,B,是
EMP0150,刘红霞,产品部,职能序列,P3,本科,北京,2020-01-22,5.4,16211,2783,856,1042,20892,2193,1271,17428,B,是
EMP0151,马想,销售部,技术序列,P4,大专,西安,2018-06-17,7.0,13227,5470,925,503,20125,2113,1210,16802,B,是
EMP0152,高龙,技术研发部,技术序列,P2,本科,武汉,2017-07-20,8.0,8602,2069,638,1704,13013,1366,641,11006,A,是
EMP0153,郭杰,技术研发部,技术序列,P4,本科,西安,2021-09-18,3.8,17341,5984,1585,1052,25962,2726,1676,21560,B,是
EMP0154,王柳,人力资源部,产品序列,P3,硕士,广州,2021-07-14,4.0,13428,3339,983,1415,19165,2012,1133,16020,C,是
EMP0155,刘桂芳,客户服务部,技术序列,P3,本科,上海,2017-01-07,8.5,16017,4283,1587,1620,23507,2468,1480,19559,A,是
EMP0156,强文,产品部,销售序列,P4,本科,西安,2024-06-22,1.0,14101,3223,1935,1034,20293,2130,1223,16940,S,否
EMP0157,张秀梅,运营部,运营序列,P7,硕士,西安,2016-07-11,9.0,26727,6759,3239,424,37149,3900,2571,30678,B,是
EMP0158,袁莉,运营部,技术序列,P1,本科,成都,2017-03-25,8.3,6253,1708,675,1115,9751,1023,380,8348,B,是
EMP0159,何玉梅,技术研发部,产品序列,P5,本科,深圳,2017-09-18,7.8,31173,11413,1836,865,45287,4755,3222,37310,B,是
EMP0160,王海燕,运营部,产品序列,P2,本科,广州,2023-01-14,2.5,9788,2970,1168,688,14614,1534,769,12311,C,是
EMP0161,郁桂荣,市场部,运营序列,P3,本科,北京,2017-10-17,7.7,14862,6436,990,550,22838,2397,1427,19014,B,是
EMP0162,何冬梅,运营部,运营序列,P1,本科,杭州,2024-11-18,0.6,7010,1139,901,1231,10281,1079,422,8780,A,是
EMP0163,王璐,运营部,销售序列,P3,本科,上海,2023-08-19,1.9,15077,4536,1130,487,21230,2229,1298,17703,B,是
EMP0164,刘丹丹,人力资源部,运营序列,P3,硕士,广州,2020-09-25,4.8,14301,4651,1311,1657,21920,2301,1353,18266,B,是
EMP0165,李丽华,技术研发部,销售序列,P1,硕士,深圳,2022-09-08,2.8,7884,3359,670,734,12647,1327,611,10709,A,是
EMP0166,余冬梅,销售部,销售序列,P3,本科,西安,2016-09-17,8.8,12674,2088,1722,1614,18098,1900,1047,15151,A,是
EMP0167,李健,产品部,技术序列,P6,大专,北京,2020-04-25,5.2,46012,14818,2882,1609,65321,6858,4825,53638,S,是
EMP0168,陈凯,技术研发部,销售序列,P2,硕士,西安,2020-04-12,5.2,6275,2548,668,1522,11013,1156,481,9376,B,是
EMP0169,杨强,技术研发部,技术序列,P5,本科,北京,2022-09-06,2.8,31998,7122,2054,343,41517,4359,2921,34237,C,是
EMP0170,吴娟,财务部,销售序列,P3,本科,成都,2021-04-01,4.3,9826,4057,1183,403,15469,1624,837,13008,B,是
EMP0171,潘岩,运营部,产品序列,P4,本科,西安,2021-12-07,3.6,10342,1610,1453,983,14388,1510,751,12127,D,是
EMP0172,吴欣,技术研发部,销售序列,P2,硕士,广州,2018-10-26,6.7,11096,4102,1037,798,17033,1788,962,14283,A,是
EMP0173,苏玉英,人力资源部,销售序列,P2,本科,深圳,2022-03-16,3.3,12155,5225,1201,557,19138,2009,1131,15998,C,是
EMP0174,黄桂香,技术研发部,销售序列,P2,大专,北京,2016-02-17,9.4,12634,4386,1803,1456,20279,2129,1222,16928,B,是
EMP0175,纪玉,运营部,职能序列,P1,本科,上海,2023-08-18,1.9,8709,2453,889,720,12771,1340,621,10810,A,是
EMP0176,周秀云,技术研发部,技术序列,P2,硕士,北京,2024-01-31,1.4,9905,1619,978,440,12942,1358,635,10949,D,是
EMP0177,唐建华,运营部,技术序列,P4,大专,深圳,2017-04-14,8.2,20007,8523,2157,1435,32122,3372,2169,26581,A,是
EMP0178,何秀云,市场部,产品序列,P6,硕士,杭州,2023-08-24,1.9,40462,11778,4811,724,57775,6066,4222,47487,C,是
EMP0179,陈婷,客户服务部,技术序列,P5,本科,杭州,2022-01-08,3.5,23856,3785,1447,1500,30588,3211,2047,25330,C,是
EMP0180,郑倩,技术研发部,职能序列,P4,本科,成都,2024-06-02,1.1,10275,3667,1357,742,16041,1684,883,13474,B,是
EMP0181,刘红霞,产品部,产品序列,P2,本科,广州,2018-12-28,6.5,9056,2667,847,777,13347,1401,667,11279,B,是
EMP0182,龙玉珍,技术研发部,销售序列,P2,本科,深圳,2024-08-14,0.9,11019,2063,630,972,14684,1541,774,12369,A,是
EMP0183,郭瑜,客户服务部,职能序列,P3,硕士,成都,2023-03-10,2.3,10833,2321,1393,602,15149,1590,811,12748,B,是
EMP0184,王琴,销售部,销售序列,P2,本科,武汉,2019-10-25,5.7,8264,1399,724,1520,11907,1250,552,10105,B,否
EMP0185,鞠浩,产品部,技术序列,P3,硕士,北京,2017-04-01,8.3,17493,5637,1050,305,24485,2570,1558,20357,B,是
EMP0186,杜艳,运营部,销售序列,P3,本科,武汉,2019-04-17,6.2,10722,3609,1215,867,16413,1723,913,13777,B,是
EMP0187,杨文,销售部,销售序列,P3,大专,北京,2020-11-15,4.6,18581,,2564,596,27347,2871,1787,22689,C,是
EMP0188,李芳,财务部,运营序列,P3,大专,杭州,2017-10-09,7.7,11161,4410,1548,566,17685,1856,1014,14815,S,是
EMP0189,胡玉,人力资源部,运营序列,P5,本科,成都,2021-02-01,4.4,22610,9231,3295,1406,36542,3836,2523,30183,B,是
EMP0190,张秀梅,产品部,职能序列,P5,博士,杭州,2016-01-14,9.5,29352,9823,4014,813,44002,4620,3120,36262,C,是
EMP0191,杨玲,技术研发部,技术序列,P3,本科,上海,2024-02-05,1.4,13500,2076,677,657,16910,1775,952,14183,B,是
EMP0192,张秀荣,销售部,运营序列,P6,本科,武汉,2024-01-26,1.4,22950,8229,2020,525,33724,3541,2297,27886,A,是
EMP0193,李红梅,销售部,产品序列,M1,本科,武汉,2018-12-14,6.6,16024,4413,2112,1653,24202,2541,1536,20125,A,是
EMP0194,向秀芳,运营部,技术序列,P3,本科,杭州,2021-08-12,3.9,12566,4016,1088,352,18022,1892,1041,15089,S,是
EMP0195,段健,产品部,产品序列,P3,本科,上海,2024-07-17,1.0,17293,5961,1904,569,25727,2701,1658,21368,B,是
EMP0196,柏雪,产品部,技术序列,P3,硕士,北京,2018-01-01,7.5,15051,3839,1665,330,20885,2192,1270,17423,B,是
EMP0197,杨桂花,运营部,技术序列,P7,本科,成都,2021-09-10,3.8,35315,15013,3054,1033,54415,5713,3953,44749,D,是
EMP0198,韩佳,销售部,技术序列,P6,本科,上海,2017-03-11,8.3,39565,7524,5556,787,53432,5610,3874,43948,B,是
EMP0199,何婷婷,销售部,销售序列,P2,大专,成都,2023-01-05,2.5,8835,3105,886,1505,14331,1504,746,12081,B,是
EMP0200,曹桂芳,运营部,运营序列,P3,博士,武汉,2019-05-07,6.2,10416,1576,1004,963,13959,1465,716,11778,B,是
EMP0201,曾玲,运营部,销售序列,P4,本科,成都,2025-06-09,0.1,14442,6172,2162,332,23108,2426,1448,19234,C,是
